epoch,time(s),train_loss,test_loss,test_error(%)
001,00113,1.379005,1.39514,51.79
002,00106,1.018042,1.13718,38.95
003,00105,0.849224,0.92382,32.21
004,00105,0.729475,0.77606,26.86
005,00105,0.654300,0.83189,27.95
006,00106,0.611568,0.70968,23.83
007,00105,0.603222,0.79976,25.83
008,00105,0.586166,0.63143,21.20
009,00105,0.548902,0.63159,21.12
010,00106,0.523305,0.61220,20.68
011,00105,0.569955,0.73238,23.86
012,00105,0.545845,0.56470,18.96
013,00105,0.457391,0.57407,19.10
014,00106,0.538554,0.60935,19.10
015,00105,0.450720,0.54945,18.27
016,00105,0.545325,0.53138,17.55
017,00105,0.468969,0.58702,19.42
018,00106,0.442089,0.52144,17.79
019,00105,0.465510,0.60110,20.97
020,00105,0.427037,0.61881,20.17
021,00105,0.422279,0.54986,18.31
022,00106,0.429165,0.50824,16.81
023,00105,0.458222,0.61130,19.49
024,00105,0.414973,0.54913,18.13
025,00105,0.379334,0.55353,18.13
026,00106,0.407575,0.47637,15.66
027,00105,0.408910,0.51655,16.77
028,00105,0.421778,0.43269,14.30
029,00105,0.385951,0.43813,14.78
030,00106,0.342337,0.44286,14.82
031,00105,0.400291,0.42240,14.03
032,00105,0.383175,0.50508,16.56
033,00105,0.374063,0.49169,15.91
034,00106,0.391784,0.41950,14.23
035,00105,0.320472,0.38408,13.36
036,00105,0.424602,0.44975,15.21
037,00105,0.357565,0.47815,16.13
038,00106,0.348368,0.47017,15.23
039,00105,0.309246,0.44733,14.97
040,00105,0.379665,0.42528,14.01
041,00123,0.343334,0.40818,13.58
042,00119,0.403039,0.41983,13.97
043,00119,0.339650,0.35641,12.08
044,00119,0.349029,0.42470,13.79
045,00119,0.361493,0.42027,13.47
046,00119,0.383594,0.39713,13.23
047,00119,0.394208,0.39887,13.56
048,00119,0.307415,0.35215,11.85
049,00119,0.315263,0.36502,12.00
050,00119,0.343704,0.38246,12.50
051,00119,0.315357,0.37971,11.96
052,00119,0.306444,0.32961,10.89
053,00119,0.312384,0.34886,11.88
054,00119,0.312687,0.34589,11.84
055,00119,0.298894,0.33895,11.09
056,00119,0.312476,0.30779,10.31
057,00119,0.290626,0.30852,10.25
058,00119,0.306835,0.30155,10.09
059,00119,0.302388,0.31448,10.15
060,00119,0.285250,0.33569,11.16
061,00119,0.287869,0.29709,9.66
062,00119,0.293043,0.27195,8.98
063,00119,0.263834,0.27621,9.24
064,00119,0.233674,0.32956,10.71
065,00119,0.250321,0.26893,8.87
066,00119,0.223878,0.28021,9.23
067,00119,0.250643,0.30537,9.81
068,00119,0.248056,0.31758,10.03
069,00119,0.213586,0.25937,8.38
070,00119,0.186473,0.25127,8.00
071,00119,0.188463,0.24998,8.28
072,00119,0.198621,0.26620,8.47
073,00119,0.180414,0.25745,8.21
074,00119,0.139327,0.24042,7.52
075,00119,0.214884,0.24116,7.67
076,00119,0.172763,0.22952,7.24
077,00119,0.158739,0.23757,7.41
078,00119,0.154186,0.23781,7.37
079,00119,0.153403,0.22469,7.29
080,00119,0.140381,0.20215,6.37
081,00119,0.128144,0.20551,5.94
082,00119,0.105640,0.19772,5.93
083,00119,0.100998,0.21853,6.39
084,00119,0.115563,0.21724,6.26
085,00119,0.094488,0.20852,5.84
086,00119,0.085940,0.20145,5.86
087,00119,0.075370,0.20500,5.89
088,00119,0.076792,0.19727,5.48
089,00119,0.062995,0.19707,5.46
090,00119,0.058939,0.19325,5.25
091,00119,0.061950,0.19547,5.34
092,00119,0.058571,0.19037,5.20
093,00119,0.047356,0.19138,5.13
094,00119,0.050330,0.18492,5.04
095,00119,0.045954,0.18495,5.01
096,00119,0.065507,0.18734,5.22
097,00119,0.056006,0.18703,5.13
098,00119,0.055075,0.18616,5.04
099,00119,0.053284,0.18655,5.06
100,00119,0.044959,0.18569,5.04
