epoch,time(s),train_loss,test_loss,test_error(%)
001,00112,1.286083,1.33685,48.23
002,00104,1.002988,1.04781,36.29
003,00105,0.805485,0.92715,32.06
004,00105,0.717402,0.79764,27.79
005,00105,0.630804,0.85112,28.24
006,00104,0.656058,0.65169,22.41
007,00105,0.577886,0.58826,20.13
008,00105,0.572013,0.72696,23.92
009,00105,0.589439,0.59479,20.36
010,00105,0.537135,0.66290,22.12
011,00105,0.590564,0.61291,21.08
012,00105,0.549919,0.56498,18.58
013,00105,0.464941,0.62168,20.19
014,00105,0.508764,0.57052,19.15
015,00105,0.452492,0.52611,18.05
016,00105,0.577641,0.69476,22.29
017,00105,0.433818,0.52794,17.43
018,00104,0.464794,0.59606,18.72
019,00105,0.415374,0.62587,20.96
020,00104,0.440232,0.51514,17.03
021,00105,0.475053,0.55549,18.08
022,00104,0.457382,0.56313,18.44
023,00104,0.461852,0.51523,17.43
024,00104,0.416335,0.54736,18.30
025,00104,0.378124,0.51689,17.26
026,00104,0.429243,0.52867,17.70
027,00104,0.415479,0.46850,15.23
028,00105,0.406564,0.48299,16.09
029,00105,0.380912,0.43452,14.92
030,00104,0.378294,0.49745,15.97
031,00104,0.400698,0.52532,16.58
032,00104,0.408189,0.57453,18.87
033,00104,0.369805,0.42908,14.17
034,00104,0.403505,0.40069,13.44
035,00105,0.323672,0.40165,13.65
036,00105,0.397930,0.51757,17.17
037,00105,0.332470,0.69017,21.78
038,00104,0.349426,0.42322,13.94
039,00105,0.321908,0.46839,15.32
040,00104,0.379588,0.46751,15.92
041,00122,0.337434,0.38608,12.71
042,00118,0.376349,0.36250,12.29
043,00118,0.389440,0.39883,13.49
044,00118,0.355649,0.46338,14.69
045,00118,0.365627,0.40257,13.28
046,00118,0.372351,0.43986,14.29
047,00118,0.396112,0.42531,14.07
048,00118,0.304598,0.38260,12.52
049,00118,0.327910,0.37293,12.37
050,00118,0.340775,0.33198,11.26
051,00119,0.317025,0.37150,11.98
052,00118,0.295685,0.32510,11.30
053,00118,0.295999,0.30674,10.47
054,00118,0.349091,0.36458,12.39
055,00118,0.322404,0.37711,12.77
056,00119,0.292280,0.31131,10.33
057,00118,0.303844,0.31391,10.41
058,00118,0.311335,0.34541,11.17
059,00118,0.320853,0.29721,10.23
060,00118,0.286320,0.32157,10.12
061,00118,0.272794,0.28272,9.26
062,00118,0.298986,0.34535,11.37
063,00118,0.265275,0.34057,11.13
064,00118,0.262845,0.31753,10.20
065,00118,0.259004,0.29255,9.34
066,00118,0.227741,0.27262,8.94
067,00118,0.253131,0.29901,9.89
068,00118,0.237822,0.30474,9.92
069,00118,0.233785,0.27077,8.77
070,00118,0.197481,0.25240,8.18
071,00118,0.189469,0.25048,7.95
072,00118,0.198359,0.25341,8.19
073,00118,0.203416,0.24103,7.79
074,00118,0.140588,0.25075,7.76
075,00118,0.192670,0.23872,7.58
076,00118,0.198047,0.23925,7.54
077,00118,0.129947,0.24231,7.49
078,00118,0.153413,0.25543,7.57
079,00118,0.143174,0.23166,7.28
080,00118,0.129547,0.20350,6.33
081,00118,0.153176,0.22468,6.80
082,00118,0.086057,0.21578,6.43
083,00118,0.125957,0.22159,6.50
084,00118,0.112209,0.22077,6.26
085,00118,0.095136,0.20728,6.11
086,00118,0.084608,0.21322,6.07
087,00118,0.074614,0.20089,5.78
088,00118,0.084680,0.20491,5.59
089,00118,0.066715,0.20607,5.73
090,00118,0.059895,0.20394,5.58
091,00118,0.054827,0.20413,5.66
092,00118,0.066223,0.19741,5.23
093,00118,0.052151,0.19489,5.31
094,00118,0.049500,0.19841,5.32
095,00118,0.051423,0.19723,5.35
096,00119,0.048242,0.19780,5.28
097,00118,0.046904,0.19737,5.26
098,00118,0.053450,0.19615,5.18
099,00118,0.049292,0.19626,5.13
100,00118,0.048453,0.19517,5.09
